state,nces_original_name,gov_unit_original_name,name,ncesid,censusid,student,acfrs_original_name
NJ,Eastampton Township School District,eastampton twp sch dist,eastampton,3404350,31500300600000,577.00000,NA
NJ,Eastern Camden County Regional School District,eastern camden cnty regional school dist,eastern camden county regional,3404380,31500470200000,1952.00000,NA
NJ,Edgewater School District,edgewater sch dist,edgewater,3404440,31500201300000,971.00000,NA
NJ,Egg Harbor City School District,egg harbor city school district,egg harbor,3404530,31200100630100,495.00000,NA
NJ,Elizabeth Public Schools,elizabeth city school district,elizabeth public,3404590,31502020200000,29021.00000,NA
NJ,Elk Township School District,elk twp sch dist,elk,3404620,31500800400000,327.00000,NA
NJ,Elmwood Park School District,elmwood park boro sch dist,elmwood park,3404660,31500201100000,2653.00000,elmwood park board of education
NJ,Elsinboro Township School District,elsinboro twp sch dist,elsinboro,3404680,31501700300000,119.00000,NA
NJ,Emerson Public School District,emerson school district,emerson,3404710,31500201400000,1127.00000,NA
NJ,Englewood Cliffs School District,englewood cliffs boro school dist,englewood cliffs,3404770,31500201500000,491.00000,NA
NJ,Essex Fells School District,essex fells sch dist,essex fells,3404830,31500700500000,252.00000,NA
NJ,Estell Manor School District,estell manor school dist,estell manor,3404860,31500170100000,197.00000,NA
NJ,Fair Haven School District,fair haven sch dist,fair haven,3404950,31501301000000,988.00000,NA
NJ,Fair Lawn Public School District,fair lawn sch dist,fair lawn,3404980,31500201600000,5277.00000,borough of fair lawn school district
NJ,Fairview Public School District,fairview boro sch dist,fairview,3405070,31500201700000,1562.00000,fairview board of education
NJ,Farmingdale Public School District,farmingdale boro sch dist,farmingdale,3405130,31501301100000,162.00000,NA
NJ,Flemington-Raritan Regional School District,flemington-raritan reg sch dist,flemington raritan regional,3405190,31501000900000,3087.00000,flemington-raritan regional school district
NJ,Florham Park School District,florham park sch district,florham park,3405250,31501401000000,992.00000,NA
NJ,Folsom Borough School District,folsom boro school dist,folsom,3405280,31500100300000,393.00000,NA
NJ,Fort Lee School District,fort lee public sch dist,fort lee,3405310,31500201800000,4185.00000,NA
NJ,Frankford Township Consolidated School District,frankford twp sch dist,frankford consolidated,3405340,31501900400000,505.00000,NA
NJ,Franklin Borough School District,franklin boro sch dist,franklin,3405400,31501900500000,457.00000,NA
NJ,Franklin Lakes School District,franklin lakes boro sch,franklin lakes,3405370,31500201900000,1129.00000,NA
NJ,Fredon Township School District,fredon twp sch dist,fredon,3405550,31501900600000,196.00000,NA
NJ,Freehold Borough School District,freehold boro sch dist,freehold,3405580,31501301200000,1675.00000,freehold borough board of education
NJ,Freehold Regional High School District,freehold regional high sch dist,freehold regional,3405610,31501301400000,10704.00000,freehold regional high school district
NJ,Frelinghuysen Township School District,frelinghuysen sch dist,frelinghuysen,3405670,31502100600000,137.00000,NA
NJ,Frenchtown Borough School District,frenchtown boro sch dist,frenchtown,3405700,31501001100000,122.00000,NA
NJ,Garwood Boro,garwood boro sch dist,garwood boro,3405790,31502000400000,363.00000,NA
NJ,Gibbsboro Elementary School District,gibbsboro sch dist,gibbsboro elementary,3405850,31500401300000,265.00000,NA
NJ,Glen Ridge Public School District,glen ridge boro sch dist,glen ridge,3405940,31500700600000,1880.00000,NA
NJ,Glen Rock Public School District,glen rock sch dist,glen rock,3405970,31500202000000,2567.00000,NA
NJ,Gloucester City Public School District,gloucester city school district,gloucester,3406000,31500470300000,2255.00000,NA
NJ,Great Meadows Regional School District,great meadows regional school district,great meadows regional,3400008,31502130100000,635.00000,NA
NJ,Greater Egg Harbor Regional High School District,greater egg harbor reg high school dist,greater egg harbor regional,3406060,31500150100000,3103.00000,greater egg harbor regional high school district
NJ,Green Brook Township Public School District,green brook sch dist,green brook,3406120,31501800900000,770.00000,NA
NJ,Green Township School District,green twp sch dist,green,3406090,31501900700000,409.00000,NA
NJ,Greenwich Township School District,greenwich twp sch dist,greenwich,3406150,31500600500000,84.00000,NA
NJ,Greenwich Township School District,greenwich twp sch dist,greenwich,3406180,31500800700000,445.00000,NA
NJ,Greenwich Township School District,greenwich twp sch dist,greenwich,3406210,31502100700000,699.00000,NA
NJ,Guttenberg School District,guttenberg town school district,guttenberg,3406240,31500920100000,979.00000,guttenberg board of education
NJ,Hackensack School District,hackensack school district,hackensack,3406270,31500220100000,5790.00000,NA
NJ,Hackettstown Public School District,hackettstown sch dist,hackettstown,3406300,31502100800000,1975.00000,town of hackettstown school district
NJ,HADDON HEIGHTS School District,haddon heights boro sch dist,haddon heights,3406330,31500401700000,1503.00000,NA
