state,nces_original_name,gov_unit_original_name,ncesid,censusid,acfrs_original_name
CA,Millbrae Elementary,millbrae elementary school district,0624900,05504101500000, Millbrae School District 
NY,MILLBROOK CENTRAL SCHOOL DISTRICT,millbrook central sch dist,3619380,33501402400000,NA
IL,Millburn CCSD 24,millburn community consolidated school district 24,1726100,14504904200000,NA
NJ,Millburn Township School District,millburn twp sch dist,3410200,31500700800000, Millburn Township School District 
MA,Millbury,millbury public schs,2507890,22301402630100,NA
PA,Millcreek Township SD,millcreek twp sch dist,4215330,39502501800000, Millcreek Township School District 
OH,Millcreek-West Unity Local,millcreek west unity sch dist,3905063,36508600700000, Millcreek-West Unity Local School District 
SD,Miller 29-4,miller school district 29-4,4647942,42503002400000,NA
OH,Miller City-New Cleveland Local,miller city new cleveland sch dist,3904936,36506900900000,NA
MO,MILLER CO. R-III,miller county school dist. r-3,2930510,26506602400000,NA
GA,Miller County,miller co sch dist,1303660,11510000100000, Miller County Board of Education 
CA,Miller Creek Elementary,dixie elem sch dist,0611220,05502100300000,NA
TX,MILLER GROVE ISD,miller grove ind sch dist 907,4830810,44511200300000, Miller Grove Independent School District 
NY,MILLER PLACE UNION FREE SCHOOL DISTRICT,miller place uf school dist,3619410,33505201200000, Miller Place Union Free School District 
MO,MILLER R-II,miller sch dist r 2,2921000,26505501900000,NA
IL,Miller Twp CCSD 210,miller township community consolidated school district 210,1726250,14505002800000,NA
PA,Millersburg Area SD,millersburg area school district,4215360,39502202300000,NA
MI,Millington Community Schools,millington comm sch dist,2623910,23507907400000, Millington Community Schools 
TN,Millington Municipal Schools,millington municipal schools district,4700150,43207900610100, Millington Municipal Schools Board of Education 
ME,Millinocket Public Schools,millinocket town schools,2308280,20301004330100,NA
MA,Millis,millis town schools,2507920,22301101430100,NA
TX,MILLSAP ISD,millsap ind sch dist 904,4830870,44518400700000, Millsap Independent School District 
IL,Millstadt CCSD 160,millstadt community consolidated school district 160,1726190,14508203100000,NA
NJ,Millstone Township School District,millstone twp sch dist,3410230,31501302700000,NA
NJ,Milltown School District,milltown boro sch dist,3410290,31501201100000,NA
PA,Millville Area SD,millville area sch dist,4215450,39501902300000,NA
CA,Millville Elementary,millville elem sch dist,0624930,05504502200000, Millville Elementary School District 
NJ,Millville School District,millville city school district,3410320,31500620100000,NA
OK,MILLWOOD,millwood sch dist 37,4020080,37505501900000, Millwood School District No. 37 
ND,MILNOR 2,milnor pub sch dist 2,3812930,35504101400000,NA
CA,Milpitas Unified,milpitas unified sch dist,0624500,05504302900000, Milpitas Unified School District 
MN,MILROY PUBLIC SCHOOL DISTRICT,milroy public sch dist 635,2721210,24506402100000,NA
MA,Milton,milton public schs,2507980,22301101530100,NA
PA,Milton Area SD,milton area sch dist,4215480,39504901500000, Milton Area School District 
VT,Milton Incorporated School District,milton town sch dist,5005610,46500400200000, Milton Town School District 
NH,Milton School District,milton town sch dist,3300616,30500900400000,NA
WI,Milton School District,milton school district,5509570,50505450300000, School District of Milton 
OR,Milton-Freewater Unified SD 7,milton freewater unified sd 7,4108160,38503001400000,NA
OH,Milton-Union Exempted Village,milton union ex vlg sch dist,3904551,36505501200000, Milton-Union Exempted Village School District 
WI,Milwaukee School District,milwaukee city school district,5509600,50504102900000, Milwaukee Public Schools 
NE,MINATARE PUBLIC SCHOOLS,minatare vil sch dist 2,3173800,28507900700000,NA
OK,MINCO,minco sch dist 2,4020100,37502601600000, Minco School District I-2 
NE,MINDEN PUBLIC SCHOOLS,minden sch dist 503,3173830,28505001100000, Minden Public Schools District No. 503 
NJ,Mine Hill Township School District,mine hill twp sch dist,3410350,31501402000000,NA
TX,MINEOLA ISD,mineola ind sch dist 903,4830930,44525000800000, Mineola Independent School District 
NY,MINEOLA UNION FREE SCHOOL DISTRICT,mineola union free school dist,3619500,33503003500000, Mineola Union Free School District 
NV,MINERAL COUNTY SCHOOL DISTRICT,mineral county school district,3200330,29501100100000, Mineral County School District 
WV,MINERAL COUNTY SCHOOLS,mineral co schs,5400870,49502900100000, Mineral County Board of Education 
WI,Mineral Point Unified School District,mineral point school district,5509660,50502570100000,NA
AR,MINERAL SPRINGS SCHOOL DIST.,mineral springs school dist 3,0509780,04503100400000,NA
TX,MINERAL WELLS ISD,mineral wells ind sch dist 903,4830950,44518200600000, Mineral Wells Independent School District 
PA,Minersville Area SD,minersville area school district,4215510,39505403100000, Minersville Area School District 
NY,MINERVA CENTRAL SCHOOL DISTRICT,minerva central sch dist,3619530,33501600900000,NA
OH,Minerva Local,minerva local sch dist,3904989,36507601400000, Minerva Local School District 
OH,Minford Local,minford local sch dist,3904962,36507300500000, Minford Local School District 
WV,MINGO COUNTY SCHOOLS,mingo co sch dist,5400900,49503000100000, Mingo County Board of Education 
AZ,Mingus Union High School District (4488),mingus union high school district 4,0405070,03501350100000, Mingus Union High School District No.4 
ID,MINIDOKA COUNTY JOINT DISTRICT,minidoka county jt sch district 331,1602190,13503400100000,NA
NY,MINISINK VALLEY CENTRAL SCHOOL DISTRICT,minisink valley ctl sch,3619560,33503601300000, Minisink Valley Central School District 
MN,Minneapolis Public School District,minneapolis special school district 1,2721240,24502703100000, Minneapolis Special School District No.1 
KS,Minneola,minneola unified school district 219,2009600,17501300400000,NA
MN,MINNEOTA PUBLIC SCHOOL DISTRICT,minneota sch dist 414,2721270,24504201500000,NA
MN,MINNESOTA DEPARTMENT OF CORRECTIONS,minnesota department of corrections,2700272,24627002720000,NA
MN,MINNESOTA STATE ACADEMIES,minnesota state academies,2700129,24627001290000,NA
MN,MINNETONKA PUBLIC SCHOOL DISTRICT,minnetonka sch dist 276,2711670,24502703200000, Minnetonka Public Schools Independent School District 276 
MN,MINNEWASKA SCHOOL DISTRICT,minnewaska sch dist 2149,2700019,24506100300000,NA
ND,MINNEWAUKAN 5,minnewaukan school district #5,3812990,35500302800000,NA
