"","name","government_ID","id","category","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","has_unconfirmed","geo_id","city_town","state.name","population","state.abb","original_name","CITY","COUNTY_AREA_NAME"
"1759","North Aurora","14204501400000",92745,"General Purpose",31196316,10332691,3713064,0,120551,0,15001105,0,1326930,0,542347,4018878,848314,2245531,14439544,1774169,19778098,0,0,0,21552267,FALSE,"1600000US1753442","North Aurora village","Illinois",18261,"IL","VILLAGE OF NORTH AURORA","NORTH AURORA","KANE"
"1760","Scarsdale","33206002400000",122464,"General Purpose",220208169,25955196,8624052,0,1265000,0,29286366,0,148766107,0,5120471,17328289,210547,1499006,48713232,-10004644,77755718,0,15223,0,67751074,FALSE,"1600000US3665431","Scarsdale village","New York",18253,"NY","VILLAGE OF SCARSDALE","SCARSDALE","WESTCHESTER"
"1761","Portsmouth","36207300300000",42964,"General Purpose",49633242,665000,1310201,537035,11950041,0,24467746,0,9207877,0,1495342,17240011,7132230,0,20015327,2813173,41574395,7390021,225000,0,44387568,FALSE,"1600000US3964304","Portsmouth city","Ohio",18252,"OH","CITY OF PORTSMOUTH","PORTSMOUTH","SCIOTO"
"1762","St Michael","24208601300000",117569,"General Purpose",22494139,16110164,4225135,0,0,0,1600787,405873,0,0,558053,8287253,517659,11585693,9801862,16674475,13517992,1163032,28656,1380434,30192467,FALSE,"1600000US2757346","St. Michael city","Minnesota",18235,"MN","CITY OF ST MICHAEL","SAINT MICHAEL","WRIGHT"
"1763","Cullman","01202200100000",31561,"General Purpose",184173319,121860424,4768320,60099,0,0,17236942,0,96343,0,2428057,41724770,1431309,2754364,40799080,19006626,67702897,0,0,0,86709523,FALSE,"1600000US0118976","Cullman city","Alabama",18213,"AL","CITY OF CULLMAN","CULLMAN","CULLMAN"
"1764","Cudahy","50204100300000",131368,"General Purpose",48530536,30426693,1845748,0,0,0,0,2622258,15265855,0,992240,11046097,2330614,31382,19865151,8443522,24829722,0,0,0,33273244,FALSE,"1600000US5517975","Cudahy city","Wisconsin",18204,"WI","CITY OF CUDAHY","CUDAHY","MILWAUKEE"
"1765","Alton","44210860100000",88049,"General Purpose",14758346,12628825,395042,0,1245802,0,358659,0,130019,0,0,4952898,0,0,6748065,490037,11210926,0,0,0,11700963,FALSE,"1600000US4802212","Alton city","Texas",18198,"TX","CITY OF ALTON","ALTON","HIDALGO"
"1766","Shorewood","14209950100000",93037,"General Purpose",25649984,2981597,1920356,0,3878067,0,7287580,0,406123,0,417239,9772995,731013,616355,16396930,-474837,27992130,0,0,0,27517293,FALSE,"1600000US1769758","Shorewood village","Illinois",18186,"IL","VILLAGE OF SHOREWOOD","SHOREWOOD","WILL"
"1767","Mcalester","37206101000000",65451,"General Purpose",66451137,43876252,2367257,570410,0,641848,11589878,47463,0,0,2428935,12989735,3164043,341686,19441512,57258,35879718,0,0,0,35936976,FALSE,"1600000US4044800","McAlester city","Oklahoma",18171,"OK","CITY OF MCALESTER","MCALESTER","PITTSBURG"
"1768","Canby","38200300200000",65792,"General Purpose",36034133,21061577,1590897,0,1107971,0,10980682,0,430931,0,862076,8850800,4190555,2336351,14504358,3364941,26517123,0,0,0,29882064,FALSE,"1600000US4110750","Canby city","Oregon",18171,"OR","CITY OF CANBY","CANBY","CLACKAMAS"
