acfrs_original_name,id,year,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,name,ratio,ratio_group,state,NCES District ID,nces_original_name,county,student
Clear Creek Independent School District,38948,2020,1400136500,1067559573,68668106,0,0,0,119560786,0,139419865,0,4928170,18672978,66999736,0,425024622,-12925719,523623055,7807098,4084630,0,510697336,clear creek,2.741617003461322,1 - 5%,Texas,4814280,CLEAR CREEK ISD,Galveston County,42388
Lincoln Public Schools,109252,2020,30753928,526467134,30753928,0,0,0,158731594,0,0,0,0,11307938,70646140,0,691983640,182972892,590964826,0,0,0,773937718,lincoln,0.03973695464729889, Below 1%,Nebraska,3172840,LINCOLN PUBLIC SCHOOLS,Lancaster County,42258
Sacramento City Unified School District,31371,2020,1736862703,579370096,73558105,0,0,0,511057000,0,567907029,0,4970473,7711938,171956963,0,521448473,31157844,669959530,0,0,0,701117374,sacramento city unified,2.477278081258902,1 - 5%,California,0633840,Sacramento City Unified,Sacramento County,42232
St. Lucie County District School Board,32422,2020,501419523,63068845,20148571,3742220,0,12240000,220508030,0,9140801,0,13556655,3560721,17108588,2173901,465633064,1882568,486593706,0,0,0,488476274,st lucie,1.0264971907315195,1 - 5%,Florida,1201770,ST. LUCIE,St. Lucie County,41859
Union County Board of Education,36671,2020,649736911,0,23690986,0,0,0,164023920,0,434277197,601356,19477428,18635091,282961549,457405,147273932,16540803,432787174,0,0,0,449327977,union,1.446019264898789,1 - 5%,North Carolina,3704620,Union County Public Schools,Union County,41707
Kern High School District,31164,2020,945922165,294811364,66691834,0,0,70295000,503973967,0,0,22267900,10150000,5318030,99260702,5583378,546904434,18924589,638141955,9352658,417711,0,657066544,kern high,1.4396139533167283,1 - 5%,California,0619540,Kern High,Kern County,41451
Garden Grove Unified School District,146160,2020,1246768735,418117646,80643174,0,0,0,570299021,0,173279211,0,4429683,4756064,104876353,16768747,510050322,-17003978,653455464,60298963,3193153,0,636451486,garden grove unified,1.9589375819290646,1 - 5%,California,0614880,Garden Grove Unified,Orange County,41423
Leander Independent School District,39252,2020,2049301062,1716525944,104169434,0,0,0,99360186,0,126525714,0,0,10279576,60144667,0,461865893,43057825,489232311,23941822,0,0,532290136,leander,3.849970013346255,1 - 5%,Texas,4827030,LEANDER ISD,Williamson County,41381
Joint School District No. 171,32721,2020,4293259,0,1612277,479982,0,0,2201000,0,0,482000,0,513897,2811480,0,12432268,919107,14838538,0,0,0,15757645,jointno,0.2724556239209603, Below 1%,Idaho,1602100,JOINT SCHOOL DISTRICT NO. 2,Ada County,40600
Joint School District No.2,32700,2020,369251913,216125926,65026221,2863754,0,0,53626767,0,31117809,10765168,491436,6767271,47169755,1025391,319575556,69632400,304905573,0,0,0,374537973,jointno,0.9858864510915692, Below 1%,Idaho,1602100,JOINT SCHOOL DISTRICT NO. 2,Ada County,40600
Ysleta Independent School District,38926,2020,1265928381,875797499,66000631,715945,0,29570000,124356659,0,160768518,0,8719129,3031786,127463030,0,400074475,-21285024,551854315,138112,0,0,530569291,ysleta,2.385981251598672,1 - 5%,Texas,4846680,YSLETA ISD,El Paso County,40428
Riverside Unified School District,146564,2020,1082021358,388914382,80047187,0,0,0,534464676,0,43189695,0,7287713,7327972,115950145,61473,458152783,-2620264,584112637,0,0,0,581492373,riverside unified,1.8607662081923815,1 - 5%,California,0633150,Riverside Unified,Riverside County,40204
Mesquite Independent School District,38898,2020,1221892772,883293726,71545177,0,0,0,122879364,0,142841285,0,1333220,5997870,126444183,0,397236760,21678364,508000449,0,0,0,529678813,mesquite,2.3068560456089076,1 - 5%,Texas,4830390,MESQUITE ISD,Dallas County,39856
San Juan Unified School District,146599,2020,1361204796,651470512,68484844,995690,0,0,504729000,0,123409701,0,6027100,10292302,152349618,1501715,456642405,8373286,612412754,0,0,0,620786040,san juan unified,2.192711672446758,1 - 5%,California,0634620,San Juan Unified,Sacramento County,39740
District School Board of Escambia County,69024,2020,375064962,45412489,15354859,0,0,0,223849731,0,12990647,0,40904268,3618231,17136341,1662132,402528667,-3121362,428066733,0,0,0,424945371,escambia,0.8826192437803965, Below 1%,Florida,1200510,ESCAMBIA,Escambia County,39739
Richardson Independent School District,42203,2020,1003571432,640797651,72624993,359632,0,0,133275141,0,153917279,0,998259,8314719,93289029,0,447518705,1938377,547184076,1284083,0,0,549122453,richardson,1.8275913259733345,1 - 5%,Texas,4837020,RICHARDSON ISD,Dallas County,39619
Clay County District School Board,148083,2020,292132510,2115000,16946946,9749407,0,0,198107478,0,5154782,0,24875788,3823149,11433781,2541108,351991781,-12431809,382221628,202915300,13390564,0,369789819,clay,0.7899960869393216, Below 1%,Florida,1200300,CLAY,Clay County,38698
Sweetwater Union High School District,146696,2020,1339642778,526922240,59822821,5217381,0,0,516761000,0,178353546,0,8667530,5020549,111326186,4662,478783071,21539290,573595178,0,0,0,595134468,sweetwater union high,2.250991750657601,1 - 5%,California,0638640,Sweetwater Union High,San Diego County,38553
Harford County Public Schools,40479,2020,1342102739,0,17533244,6931521,0,0,26004131,0,1258036000,0,33597843,7175788,145235567,55004253,408168738,-43547279,659131625,0,0,0,615584346,harford,2.180209337227039,1 - 5%,Maryland,2400390,Harford County Public Schools,Harford County,38429
Stockton Unified School District,146682,2020,1251053042,498077496,58831141,0,0,0,501211000,0,133467099,0,2445386,3184994,156287508,0,466489758,-23623543,649585803,0,0,0,625962260,stockton unified,1.9986077786862102,1 - 5%,California,0638010,Stockton Unified,San Joaquin County,37559
Savannah-Chatham County Public Schools,70970,2020,772003924,2338479,77753452,0,8229372,0,391130810,0,277182727,0,7427742,4064818,220495234,3523789,370993408,90421002,508656247,0,0,0,599077249,savannah-chatham,1.2886550528978609,1 - 5%,Georgia,1301020,Savannah-Chatham County,Chatham County,37456
Johnston County Board of Education,36591,2020,568212254,0,21271788,0,0,0,142526998,0,380551709,526089,19098978,12541029,257016444,0,109578056,3850882,375284647,0,0,0,379135529,johnston,1.4987048444093458,1 - 5%,North Carolina,3702370,Johnston County Public Schools,Johnston County,37295
School District U-46,33019,2020,703830537,282823384,70224363,0,1568459,0,54072324,0,282260684,0,1506421,9386964,276156667,1495917,521430009,80602065,727867492,0,0,0,808469557,u-,0.8705714778076672, Below 1%,Illinois,1713710,SD U-46,Kane County,37266
Berkeley County School District,38325,2020,1323238425,523968639,60178516,0,0,0,399909063,0,332249954,0,6932253,5927667,213070469,0,246068223,17026534,448039825,0,0,0,465066359,berkeley,2.845267991099739,1 - 5%,South Carolina,4501170,Berkeley 01,Berkeley County,37219
Cleveland Municipal School District,37053,2020,1279662008,264275000,100100151,1350746,0,0,781584016,0,86211771,0,42857903,10839951,166938729,1860393,685517726,-83003856,948160655,0,0,0,865156799,cleveland municipal,1.4791099249050692,1 - 5%,Ohio,3904378,Cleveland Municipal,Cuyahoga County,37146
Corpus Christi Independent School District,39122,2020,1065780178,754869272,63674573,7081057,0,0,103220631,0,126210740,0,7271790,3814461,99747025,0,385417888,32765766,456213608,55865,0,0,488979374,corpus christi,2.1796015019643753,1 - 5%,Texas,4815270,CORPUS CHRISTI ISD,Nueces County,36618
Poway Unified School District,146530,2020,1621614266,1083704628,32797022,3665258,0,0,410754185,0,80113937,0,5933601,26752986,68901033,371959,423134884,-32932470,552093332,0,409134,0,519160862,poway unified,3.1235294967208063,1 - 5%,California,0631530,Poway Unified,San Diego County,36586
Jefferson County Board of Education,30351,2020,685117308,22589856,31543473,0,0,0,308530000,0,129461096,0,1777884,21529990,262724040,12240121,112202924,28029545,380667530,0,0,0,408697075,jefferson,1.676345024000967,1 - 5%,Alabama,0101920,Jefferson County,Jefferson County,36359
Irvine Unified School District,29936,2020,635380321,132637239,33051771,545329,0,0,414624892,0,45365547,0,387656,6588517,75613010,202391232,401083313,98674112,587001960,0,0,0,685676072,irvine unified,0.9266479420037279, Below 1%,California,0684500,Irvine Unified,Orange County,36177
Fontana Unified School District,146138,2020,946978452,219254723,79229956,298133,0,0,483736757,0,129275578,0,3276534,11153513,100608402,176021,430421192,-34140270,576499398,0,0,0,542359128,fontana unified,1.7460357964142166,1 - 5%,California,0613920,Fontana Unified,San Bernardino County,36160
Oakland Unified School District,42905,2020,1819330244,1131058106,105101908,0,23091412,0,503385375,0,0,0,13182778,2893140,172025707,0,571593108,-3445416,749957371,25196349,209229,0,746511955,oakland unified,2.4371079817469234,1 - 5%,California,0628050,Oakland Unified,Alameda County,36154
Washington County School District,39334,2020,395446550,273627805,43018771,235534,0,100000,78464440,0,0,0,0,3162898,93323063,0,220796672,23645944,293636687,0,0,0,317282633,washington,1.2463542244998957,1 - 5%,Utah,4901140,Washington District,Washington County,35920
Tulsa Public Schools,37500,2020,587239,251523,67524,10893,0,0,241594,0,0,0,8642,11775,94805,0,381816,39367,449029,0,0,0,488396,tulsa,1.202382902398873,1 - 5%,Oklahoma,4030240,TULSA,Tulsa County,35675
Mansfield Independent School District,39198,2020,1288151972,982092873,82180502,332454,0,0,102362821,0,121183321,0,0,9069891,60107060,0,371581963,-1583413,442342327,357454,0,0,440758914,mansfield,2.9225772436674986,1 - 5%,Texas,4828920,MANSFIELD ISD,Tarrant County,35669
Fremont Unified School District,146150,2020,1170307566,456435745,54018125,0,0,0,458190448,0,137367513,0,2505735,4443584,84457867,0,389615947,-11700055,490217453,0,0,0,478517398,fremont unified,2.4456949128524683,1 - 5%,California,0614400,Fremont Unified,Alameda County,35431
Spring Independent School District,38996,2020,1129098593,799040030,73711396,89890,0,0,114677823,0,138635456,0,1495590,3455499,93473848,0,368207786,-8821756,473958889,0,0,0,465137133,spring,2.427453137782487,1 - 5%,Texas,4841220,SPRING ISD,Harris County,35336
Keller Independent School District,39196,2020,1334330855,1060128721,56902243,0,0,0,96618913,0,116318686,0,929285,20171116,57291990,0,380810357,192702,458080761,22111416,52587,0,458273463,keller,2.911647657416288,1 - 5%,Texas,4825260,KELLER ISD,Tarrant County,35267
Spring Branch Independent School District,38995,2020,1237341480,854675443,129776008,0,0,0,111897876,0,130631462,0,10355939,6810011,88431358,0,462461113,35046272,522656210,2367718,0,0,557702482,spring branch,2.2186407985180887,1 - 5%,Texas,4841100,SPRING BRANCH ISD,Harris County,35188
Canyons School District,54006,2020,620596696,443923089,62737985,0,0,0,93039273,0,2159034,0,1808562,12383583,94347443,0,288936191,22314834,373352383,0,0,0,395667217,canyons,1.5684814645636918,1 - 5%,Utah,4900142,Canyons District,Salt Lake County,35127
Nebo School District,39331,2020,404095578,229085319,33166488,0,0,0,84894244,0,0,0,1598744,7693490,90342264,0,235519693,35275718,298279729,0,0,0,333555447,nebo,1.2114794755547793,1 - 5%,Utah,4900630,Nebo District,Utah County,34171
Leon County District School Board,32403,2020,442316237,55163699,16360007,95402240,0,0,206003749,0,30813518,0,29887303,7905615,12210525,1395080,351696350,-3338963,376546533,0,0,0,373207570,leon,1.1851748800272193,1 - 5%,Florida,1201110,LEON,Leon County,33840
Ector County Independent School District,163558,2020,439368530,170594397,48742760,2655646,0,0,89271128,0,119423267,0,6120573,8471736,70985968,0,297409303,28071061,348795946,27256175,275929,0,376867007,ector,1.165845037742983,1 - 5%,Texas,4818000,ECTOR COUNTY ISD,Ector County,33822
Ector Independent School District,163559,2020,3218616,1355000,138360,0,23079,0,668628,0,1033549,0,0,128109,503230,0,3675703,354133,3952909,0,0,0,4307042,ector,0.7472915286175523, Below 1%,Texas,4818000,ECTOR COUNTY ISD,Ector County,33822
Cabarrus County Board of Education,36512,2020,513027019,0,14468951,0,0,0,127766525,0,343875045,472626,19220067,16631081,232775659,0,121142957,23527537,347022160,0,0,0,370549697,cabarrus,1.3845026002004799,1 - 5%,North Carolina,3700530,Cabarrus County Schools,Cabarrus County,33658
Irving Independent School District,38896,2020,685704652,414677805,28688102,0,0,0,115166596,0,126254519,0,0,2719624,73015452,0,365998687,13862244,427871519,1628583,0,0,441733763,irving,1.552303014700735,1 - 5%,Texas,4824420,IRVING ISD,Dallas County,33544
Durham Public Schools Board of Education,36553,2020,642977007,0,23465035,0,0,0,163655893,0,434743527,608626,19940554,8251011,263871858,470162,164529206,-9442652,446564889,1760740,12575101,0,437122237,durham,1.470931818552164,1 - 5%,North Carolina,3701260,Durham Public Schools,Durham County,33435
Weber School District,39336,2020,376563652,194614972,64413917,12675352,0,925094,91420288,0,0,0,2631806,9310222,80977195,0,211614615,-7867965,309769997,0,0,0,301902032,weber,1.247304132090108,1 - 5%,Utah,4901200,Weber District,Weber County,32910
Okaloosa County District School Board,98987,2020,245738652,2846000,7274300,367638,0,0,169494795,0,25947864,0,27005055,5309047,8165386,2604393,304366585,-14619704,335065115,0,0,0,320445411,okaloosa,0.7668658796926882, Below 1%,Florida,1201380,OKALOOSA,Okaloosa County,32458
Amarillo Independent School District,39144,2020,516180625,239375000,55582000,0,0,0,89394235,0,110453085,0,0,14389854,69709569,659206,301871723,24075807,362554545,0,0,0,386630352,amarillo,1.3350752788286007,1 - 5%,Texas,4808130,AMARILLO ISD,Potter County,32436
Moreno Valley Unified School District,146399,2020,724924698,214488958,31381931,0,0,0,421641907,0,39679202,0,5586471,4267411,98339011,3077989,409138965,-5603882,520427258,7819069,8066751,0,514823376,moreno valley unified,1.4081036949650865,1 - 5%,California,0625800,Moreno Valley Unified,Riverside County,32299
San Ramon Valley Unified School District,146614,2020,889283293,468964637,17149685,11048881,0,0,342173644,0,47204309,0,2610472,6854961,62433793,1926125,351008266,-16967705,439190850,0,0,0,422223145,san ramon valley unified,2.106192669755231,1 - 5%,California,0635130,San Ramon Valley Unified,Contra Costa County,31911
Muscogee County School District,32611,2020,581553835,0,54293017,1841601,0,0,306866281,0,214616262,0,1911602,2954049,221983044,4101364,155546852,-5706894,390292203,0,0,0,384585309,muscogee,1.5121582166312026,1 - 5%,Georgia,1303870,Muscogee County,Muscogee County,31733
Gaston County Board of Education,36562,2020,463618992,0,22992313,1185755,0,0,114362049,0,308233938,422361,16844937,3289601,231281373,457093,97699034,11440848,321286253,0,0,0,332727101,gaston,1.3933911322720898,1 - 5%,North Carolina,3701620,Gaston County Schools,Gaston County,31193
Mt Diablo Unified School District,67614,2020,1140125173,455779259,28047595,165149,3883672,0,379179000,0,213427260,0,4127319,6172402,87738467,62926,339431515,-30991329,464396639,0,0,0,433405310,mt diablo unified,2.630621145366216,1 - 5%,California,0626370,Mt. Diablo Unified,Contra Costa County,31037
Denton Independent School District,38903,2020,1612925722,1317101102,84523589,0,0,0,97444139,0,112798512,0,1058380,11605485,49004122,0,377454207,16065102,421998712,3500578,6926804,0,438063814,denton,3.6819423802030817,1 - 5%,Texas,4816740,DENTON ISD,Denton County,30919
Bakersfield City School District,31158,2020,671058923,121107736,37356682,2317244,0,0,386111108,0,110140997,0,1868405,1160899,93087913,5809912,361572263,-3935824,465566811,2532756,333124,0,461630987,bakersfield city,1.4536695800275643,1 - 5%,California,0603630,Bakersfield City,Kern County,30793
Richmond County Board of Education,70953,2020,611909082,84100954,49948903,0,0,0,276042112,0,199657322,0,2159790,1049001,226787637,2087206,154191217,22325264,361789797,0,0,0,384115061,richmond,1.5930359002507324,1 - 5%,Georgia,1304380,Richmond County,Richmond County,30666
Baldwin County Board of Education,30308,2020,602438184,1000000,32760993,21537,0,40000,271371000,0,114742660,0,4086096,16111236,194470250,8946781,176291105,42489765,353329607,0,0,0,395819372,baldwin,1.5220027785805288,1 - 5%,Alabama,0100270,Baldwin County,Baldwin County,30602
Paulding County Board of Education,105340,2020,602757524,91684310,50452750,0,0,0,280034660,0,180016788,0,569015,5098454,192403901,4724031,149488698,2545744,349169341,0,0,0,351715085,paulding,1.7137664823219054,1 - 5%,Georgia,1304020,Paulding County,Paulding County,30496
