acfrs_original_name,id,year,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,name,ratio,ratio_group,state,NCES District ID,nces_original_name,county,student
Climax Springs R-IV School District,167886,2020,4510898,0,29845,2217841,0,0,2236249,0,0,0,26963,69328,1060302,0,3344939,-193786,4668355,0,0,0,4474569,climax springs r-iv,1.0081189942539717,1 - 5%,Missouri,2909810,CLIMAX SPRINGS R-IV,Camden County,194
Columbine Elementary School District,146041,2020,2379981,0,144177,188725,0,0,2047079,0,0,0,0,6028,249786,0,2027689,24650,2258853,0,0,0,2283503,columbine elementary,1.0422499992336336,1 - 5%,California,0609510,Columbine Elementary,Tulare County,194
Shaffer Union Elementary School District,146644,2020,2184903,0,286752,16479,0,0,1861560,0,0,0,20111,15097,534529,0,2165794,127982,2587438,0,0,0,2715420,shaffer union elementary,0.8046280133460018, Below 1%,California,0636420,Shaffer Union Elementary,Lassen County,193
Creek Valley Public Schools,108792,2020,0,0,0,0,0,0,851913,0,0,0,0,39134,503772,0,4016009,687637,3871278,0,0,0,4558915,creek valley,0, Below 1%,Nebraska,3100140,CREEK VALLEY SCHOOLS,Deuel County,192
Elk Hills Elementary School District,146107,2020,7301452,5375589,270830,0,0,0,1655033,0,0,0,0,243,389340,0,2823416,253259,2959740,0,0,0,3212999,elk hills elementary,2.2724725404520822,1 - 5%,California,0612360,Elk Hills Elementary,Kern County,192
Capay Joint Union Elementary School District,145991,2020,2904436,0,201628,0,0,0,1785948,0,916860,0,0,94287,80970,882,2059608,-24852,2260599,0,0,0,2235747,capay joint union elementary,1.29908974494878,1 - 5%,California,0607410,Capay Joint Union Elementary,Tehama County,191
Texline Independent School District,163990,2020,2860107,1780000,101039,0,0,0,366706,0,612362,0,0,73074,379792,0,2882825,566584,2769107,0,0,0,3335691,texline,0.8574256428428173, Below 1%,Texas,4842570,TEXLINE ISD,Dallam County,191
Wallowa County School District 54,90962,2020,0,0,0,0,0,0,0,0,0,0,0,0,222470,0,93376,132730,183116,0,0,0,315846,wallowa,0, Below 1%,Oregon,4112990,Wallowa SD 12,Wallowa County,191
Copan Public Schools,148651,2020,1034058,930000,64488,39570,0,0,0,0,0,0,0,0,0,0,2382712,113752,2268960,0,0,0,2382712,copan,0.4339836287390167, Below 1%,Oklahoma,4008610,COPAN,Washington County,190
General Shafter Elementary School District,146165,2020,11251527,7475000,137396,0,0,0,2124672,0,1459537,0,54922,8509,381821,0,3337939,-2060810,5789079,0,0,0,3728269,general shafter elementary,3.017895704414032,1 - 5%,California,0615000,General Shafter Elementary,Kern County,190
