acfrs_original_name,census_id,id,year,category,total_liabilities,bonds_outstanding,current_liabilities,leases,loans_outstanding,notes_outstanding,net_pension_liability,net_pension_assets,net_opeb_liability,net_opeb_assets,compensated_absences,charges_for_services,operating_grants,capital_grants,general_revenue,change_in_net_position,expenses,total_operating_revenues,non_operating_revenues,capital_contributions,revenues,has_unconfirmed,name,ratio,ratio_group,state,nces_original_name,student
Bond County Community Unit School District 2,NA,151224,2020,School District,14824340,14620100,18322,185918,0,0,0,0,0,0,0,0,0,0,31547729,1247753,30299976,0,0,0,31547729,FALSE,bond county cusd 2,0.4699019698058139, Below 1%,Illinois,Bond County CUSD 2,1720.00000
Bradley Bourbonnais Community High School District No. 307,NA,43259,2020,School District,9870000,9870000,0,0,0,0,2762194,0,0,0,0,0,0,0,35538340,1418331,34120009,0,0,0,35538340,FALSE,bradley bourbonnais chsd 307,0.27772822253374807, Below 1%,Illinois,Bradley Bourbonnais CHSD 307,1944.00000
Bremen Community High School District 228,NA,32904,2020,School District,50000000,50000000,0,0,0,0,6945025,0,47748589,0,0,0,0,0,121171046,-10283137,131454183,0,0,0,121171046,FALSE,bremen chsd 228,0.4126398314660088, Below 1%,Illinois,Bremen CHSD 228,4970.00000
Brookwood School District 167,NA,32906,2020,School District,11975000,11975000,0,0,0,0,0,0,0,0,0,0,0,0,23149893,1389527,21760366,0,0,0,23149893,FALSE,brookwood sd 167,0.5172810085990462, Below 1%,Illinois,Brookwood SD 167,1167.00000
Cahokia Community Unit School District No. 187,NA,33120,2020,School District,56330494,25950407,2258799,0,0,0,5704960,0,21306002,0,0,622410,29366914,0,42453837,1849962,70593199,0,0,0,72443161,FALSE,cahokia cusd 187,0.7775819445537447, Below 1%,Illinois,Cahokia CUSD 187,3262.00000
Calumet City School District 155,NA,32907,2020,School District,34610953,34605000,5953,0,0,0,0,0,0,0,0,252585,3288562,0,15634641,936376,18239412,0,0,0,19175788,FALSE,calumet city sd 155,1.8049298938849345,1 - 5%,Illinois,Calumet City SD 155,1090.00000
Canton Union School District No. 66,NA,33001,2020,School District,6725000,6725000,0,0,0,0,1872208,0,11460479,0,36739,0,0,0,28946656,537568,28409088,0,0,0,28946656,FALSE,canton union sd 66,0.23232389952055257, Below 1%,Illinois,Canton Union SD 66,2348.00000
Carbondale Community High School District 165,NA,33009,2020,School District,473038,511621,-38583,0,0,0,2321536,0,7516809,0,0,0,0,0,23506925,1001376,22505549,0,0,0,23506925,FALSE,carbondale chsd 165,0.020123346630833254, Below 1%,Illinois,Carbondale CHSD 165,989.00000
Carbondale Elementary School District 95,NA,33010,2020,School District,3111788,3110000,1788,0,0,0,0,0,0,0,0,0,0,0,36249425,-1757316,38006741,0,0,0,36249425,FALSE,carbondale esd 95,0.08584378924631218, Below 1%,Illinois,Carbondale ESD 95,1534.00000
Carlinville Community Unit School District No. 1,NA,196562,2020,School District,2174641,2019000,122200,33441,0,0,1234564,0,0,0,0,0,0,0,21814042,1427324,20386718,0,0,0,21814042,FALSE,carlinville cusd 1,0.09968996117271618, Below 1%,Illinois,Carlinville CUSD 1,1381.00000
