ncesid,nces_original_name,county_nces,city_nces,state,student
2105910,Williamsburg Independent,Whitley County,Williamsburg,KY,882.00000
3904636,Williamsburg Local,Clermont County,Williamsburg,OH,962.00000
5104020,WILLIAMSBURG-JAMES CITY PBLC SCHS,Williamsburg city,Williamsburg,VA,11639.00000
1742450,Williamsfield CUSD 210,Knox County,Williamsfield,IL,300.00000
3631440,WILLIAMSON CENTRAL SCHOOL DISTRICT,Wayne County,WILLIAMSON,NY,1076.00000
1700118,Williamson Co Spec Educ District,Williamson County,Marion,IL,21.00000
4704530,Williamson County,Williamson County,Franklin,TN,41387.00000
4226460,Williamsport Area SD,Lycoming County,Williamsport,PA,4921.00000
2636420,Williamston Community Schools,Ingham County,WILLIAMSTON,MI,1893.00000
2105940,Williamstown Independent,Grant County,Williamstown,KY,960.00000
3631470,WILLIAMSVILLE CENTRAL SCHOOL DISTRICT,Erie County,EAST AMHERST,NY,9992.00000
1742480,Williamsville CUSD 15,Sangamon County,Williamsville,IL,1544.00000
2313740,Willimantic Public Schools,Piscataquis County,Greenville,ME,1.00000
3418000,Willingboro Public School District,Burlington County,Willingboro,NJ,3497.00000
0905100,Willington School District,Tolland County,Willington,CT,438.00000
4845900,WILLIS ISD,Montgomery County,WILLIS,TX,7865.00000
3819880,WILLISTON 1,Williams County,Williston,ND,4409.00000
0642560,Willits Unified,Mendocino County,Willits,CA,1561.00000
2742720,WILLMAR PUBLIC SCHOOL DISTRICT,Kandiyohi County,WILLMAR,MN,4491.00000
3904510,Willoughby-Eastlake City,Lake County,Eastlake,OH,7735.00000
3028140,Willow Creek Elem,Gallatin County,Willow Creek,MT,49.00000
0642600,Willow Creek Elementary,Siskiyou County,Montague,CA,30.00000
3028170,Willow Creek H S,Gallatin County,Willow Creek,MT,11.00000
1742510,Willow Grove SD 46,Clinton County,Centralia,IL,171.00000
0642630,Willow Grove Union Elementary,San Benito County,Paicines,CA,11.00000
4679350,Willow Lake School District 12-3,Clark County,Willow Lake,SD,289.00000
2742750,WILLOW RIVER PUBLIC SCHOOL DISTRICT,Pine County,WILLOW RIVER,MN,444.00000
2932070,WILLOW SPRINGS R-IV,Howell County,WILLOW SPRINGS,MO,1318.00000
1742570,Willow Springs SD 108,Cook County,Willow Springs,IL,354.00000
0642710,Willows Unified,Glenn County,Willows,CA,1437.00000
4845950,WILLS POINT ISD,Van Zandt County,WILLS POINT,TX,2565.00000
3631500,WILLSBORO CENTRAL SCHOOL DISTRICT,Essex County,WILLSBORO,NY,249.00000
0642750,Wilmar Union Elementary,Sonoma County,Petaluma,CA,239.00000
1742600,Wilmette SD 39,Cook County,Wilmette,IL,3526.00000
2513050,Wilmington,Middlesex County,Wilmington,MA,3166.00000
4226520,Wilmington Area SD,Lawrence County,New Wilmington,PA,1072.00000
3904511,Wilmington City,Clinton County,Wilmington,OH,2579.00000
1742630,Wilmington CUSD 209U,Will County,Wilmington,IL,1225.00000
4600003,Wilmot School District 54-7,Roberts County,Wilmot,SD,241.00000
5516770,Wilmot UHS School District,Kenosha County,Wilmot,WI,979.00000
4032880,WILSON,Okmulgee County,Henryetta,OK,259.00000
4032940,WILSON,Carter County,Wilson,OK,436.00000
4226550,Wilson Area SD,Northampton County,Easton,PA,2243.00000
3631560,WILSON CENTRAL SCHOOL DISTRICT,Niagara County,WILSON,NY,1104.00000
4704550,Wilson County,Wilson County,Lebanon,TN,19015.00000
3705020,Wilson County Schools,Wilson County,Wilson,NC,11012.00000
5309900,Wilson Creek School District,Grant County,WILSON CREEK,WA,164.00000
0409390,Wilson Elementary District (4261),Maricopa County,PHOENIX,AZ,1165.00000
4845990,WILSON ISD,Lynn County,WILSON,TX,148.00000
4226580,Wilson SD,Berks County,West Lawn,PA,6220.00000
0642810,Wilsona Elementary,Los Angeles County,Palmdale,CA,1231.00000
3813200,WILTON 1,McLean County,Wilton,ND,246.00000
1931800,Wilton Comm School District,Muscatine County,Wilton,IA,940.00000
0905130,Wilton School District,Fairfield County,Wilton,CT,3843.00000
3307115,Wilton-Lyndeboro School District,Hillsborough County,Lyndeborough,NH,565.00000
4800009,WIMBERLEY ISD,Hays County,WIMBERLEY,TX,2537.00000
2791449,WIN-E-MAC SCHOOL DISTRICT,Polk County,ERSKINE,MN,478.00000
2513080,Winchendon,Worcester County,Winchendon,MA,1224.00000
2513110,Winchester,Middlesex County,Winchester,MA,4678.00000
